Summons Number,Plate ID,Registration State,Plate Type,Issue Date,Violation Code,Vehicle Body Type,Vehicle Make,Issuing Agency,Street Code1,Street Code2,Street Code3,Vehicle Expiration Date,Violation Location,Violation Precinct,Issuer Precinct,Issuer Code,Issuer Command,Issuer Squad,Violation Time,Time First Observed,Violation County,Violation In Front Of Or Opposite,House Number,Street Name,Intersecting Street,Date First Observed,Law Section,Sub Division,Violation Legal Code,Days Parking In Effect    ,From Hours In Effect,To Hours In Effect,Vehicle Color,Unregistered Vehicle?,Vehicle Year,Meter Number,Feet From Curb,Violation Post Code,Violation Description,No Standing or Stopping Violation,Hydrant Violation,Double Parking Violation
1339520497,GEM2989,NY,PAS,07/13/2013,67,SDN,INFIN,P,0,0,0,20150611,0070,70,70,901423,0070,0000,0322P,,K,,,N/E C/O HILLEL PLC,KENILWORTH PLC,0,408,E2,,BBBBBBB,ALL,ALL,BLK,0,2010,-,0,,,,,
1340126746,IAK367,SC,PAS,07/21/2013,67,SDN,CHEVR,P,50750,12620,50020,20140531,0043,43,43,950860,0043,0000,0535P,,BX,F,1332,METROPOLITAN AVE,,0,408,J6,,BBBBBBB,ALL,ALL,GY,0,0,-,0,,,,,
1340649895,GFC8839,NY,PAS,08/03/2013,67,SUBN,GMC,K,12220,0,0,20150408,0075,75,3,160218,0003,0000,0155P,,K,F,,HIGHLAND PK,JAM AVE + WARWICK ST,0,408,D5,,BBBBBBB,ALL,ALL,GREY,0,2004,-,0,,,,,
1340651087,7AP0612,MD,PAS,08/24/2013,67,SDN,TOYOT,K,0,0,0,0,110,110,3,160501,0003,0000,1126A,,Q,F,,FLUSHING MEADOWS,58 LOT,0,408,D,,BBBBBBB,ALL,ALL,GY,0,0,-,0,,,,,
1340850138,GEP9534,NY,PAS,08/08/2013,67,SUBN,TOYOT,X,26630,36480,36530,0,0071,71,976,100317,0976,0000,0135A,,K,F,489,CLARKSON AVE,,0,408,D5,,BBBBBBB,ALL,ALL,GRAY,0,0,-,0,,,,,
1340850205,GWM7737,PA,PAS,08/14/2013,67,SDN,BMW,H,26630,36480,36530,0,0071,71,976,100317,0976,0000,1230A,,K,F,489,CLARKSON AVE,,0,408,E5,,BBBBBBB,ALL,ALL,RED,0,0,-,0,,,,,
1342577139,R70BWJ,NJ,PAS,08/13/2013,67,SUBN,KIA,X,40120,8020,26610,0,0041,41,163,952092,0163,0000,0430P,0430P,BX,F,1057,HOE AVE,,20130813,408,99,,BBBBBBB,ALL,ALL,GREEN,0,0,-,0,,,,,
1345663080,T61CAX,NJ,PAS,07/18/2013,67,SUBN,KIA,P,12650,13113,19890,0,0007,7,804,930910,0804,0000,1118A,1115A,NY,F,105,BARUCH DR,,0,408,D5,,BBBBBBB,ALL,ALL,,0,0,-,0,,,,,
1345673619,GBD1951,NY,PAS,08/20/2013,67,SUBN,TOYOT,P,17420,24570,22240,20140827,0045,45,808,914271,0808,0000,1009P,,BX,O,595,CALHOUN AV,,0,408,D5,,BBBBBBB,ALL,ALL,GRAY,0,2008,-,0,,,,,
1340902953,6VVH884,CA,PAS,07/29/2013,67,SDN,TOYOT,X,57720,15110,0,0,0049,49,976,100470,0976,0000,0930A,,BX,F,140,PELHAM PKWY,JACOBI HOSPITAL,0,408,J6,,BBBBBBB,ALL,ALL,GY,0,0,-,0,,,,,
1342920739,420ZLJ,CT,PAS,07/22/2013,67,SDN,ME/BE,P,79050,34120,47820,0,0045,45,45,944796,0045,0000,0144A,0144A,BX,F,1760,ZEREGA AVE,,0,408,D1,,BBBBBBB,ALL,ALL,WHITE,0,0,-,0,,,,,
1343015662,GHP8808,NY,PAS,07/22/2013,67,P-U,CHEVR,P,34130,45130,78130,20150612,0090,90,90,923589,0090,0000,0520A,,K,F,705,DRIGGS AVE,,0,408,J6,,BBBBBBB,ALL,ALL,BLUE,0,2008,-,0,,,,,
1343432649,OL1153J,NJ,PAS,07/31/2013,67,SDN,FORD,T,64790,18290,28265,0,103,103,504,348504,T504,0000,0720P,,Q,F,91-10,SUTPHIN BLVD,,0,408,K2,,BBBBBBB,ALL,ALL,BL,0,0,-,0,,,,,
1345673966,GBU5287,NY,PAS,08/12/2013,67,SUBN,KIA,P,45020,28440,28470,20140824,0047,47,808,938377,0808,0000,0342A,0330A,BX,F,4034,LACONIA AVE,,0,408,F1,,BBBBBBB,ALL,ALL,BLACK,0,2013,-,0,,,,,
1345767997,GED8544,NY,PAS,07/16/2013,67,SUBN,SUZUK,P,23490,15290,15190,20150408,107,107,107,927911,0107,0000,0248A,,Q,O,72-45,153 ST,,0,408,F2,,BBBBBBB,ALL,ALL,,0,2010,-,0,,,,,
1345769209,GDF4246,NY,PAS,07/18/2013,67,SDN,TOYOT,P,0,0,0,20150624,107,107,107,945825,0107,0000,0330A,,Q,,,C/O 139 ST,MANTON ST,0,408,F2,,BBBBBBB,ALL,ALL,GRAY,0,2001,-,0,,,,,
1345771794,GJG3399,NY,PAS,08/11/2013,67,SDN,HONDA,P,25790,13990,14490,20150722,107,107,107,927822,0107,0000,0845A,,Q,F,6702,197 ST,,0,408,C3,,BBBBBBB,ALL,ALL,,0,0,-,0,,,,,
1341226451,GBD4174,NY,PAS,07/27/2013,67,SUBN,LEXUS,P,0,0,0,20141022,102,102,102,898594,0102,0000,0125A,,Q,,,C/O 110 ST,ATLANTIC A,0,408,E2,,BBBBBBB,ALL,ALL,BURGU,0,2008,-,0,,,,,
1341241403,GGB8363,NY,PAS,07/28/2013,67,SDN,NISSA,P,0,0,0,20150406,102,102,102,940351,0102,0000,0218P,,Q,,,N/W 76 ST,C/O 86 RD,0,408,F7,,BBBBBBB,ALL,ALL,GY,0,2010,-,0,,,,,
1341241415,GEF9382,NY,PAS,07/31/2013,67,SDN,NISSA,P,0,0,0,20150430,102,102,102,940351,0102,0000,0936A,,Q,,,S/E C/O 88 ST,97 AVE,0,408,E2,,BBBBBBB,ALL,ALL,WHITE,0,1991,-,0,,,,,
1345780965,ZCS3922,PA,PAS,08/06/2013,67,,FORD,P,0,0,0,20131031,0071,71,71,945419,0071,0000,1058P,,,,,S/B UTICA AV,C/O W/B EASTERN PKY,0,408,E2,,BBBBBBB,ALL,ALL,,0,0,-,0,,,,,
1341242950,LEX5183,OH,PAS,08/05/2013,67,SUBN,LEXUS,P,19740,17390,17390,0,102,102,102,940038,0102,0000,0755A,,Q,F,86-05,104 ST,,0,408,J6,,BBBBBBB,ALL,ALL,GY,0,0,-,0,,,,,
1341242961,HRF8002,PA,PAS,08/11/2013,67,SUBN,ME/BE,P,15990,17240,17390,0,102,102,102,940038,0102,0000,0838A,,Q,F,85 53,76TH ST,,0,408,C,,BBBBBBB,ALL,ALL,GOLD,0,0,-,0,,,,,
1341242973,4AP7906,MD,PAS,08/11/2013,67,SDN,NISSA,P,15990,17240,17390,0,102,102,102,940038,0102,0000,0837A,,Q,F,85-50,76TH ST,,0,408,C,,BBBBBBB,ALL,ALL,GREEN,0,0,-,0,,,,,
1341242985,T624595C,NY,SRF,08/05/2013,67,SUBN,CHEVR,P,16490,17240,17390,20140630,102,102,102,940038,0102,0000,0809A,,Q,F,8571,79 ST,,0,408,J2,,BBBBBBB,ALL,ALL,BK,0,2008,-,0,,,,,
1341243035,GBZ2407,NY,PAS,07/21/2013,67,SUBN,TOYOT,P,15990,17240,17390,20140923,102,102,102,940038,0102,0000,0809A,,Q,F,8552,76 ST,,0,408,J3,,BBBBBBB,ALL,ALL,SILV,0,2004,-,0,,,,,
1344471353,ZDC4132,PA,PAS,08/22/2013,67,TRUC,GMC,P,0,40404,40404,0,,0,44,941398,0044,0000,0930P,,BX,,1386,NELSON AVE,,0,408,D,,BBBBBBB,ALL,ALL,WHITE,0,0,-,0,,,,,
1346115163,N752JG,FL,PAS,07/24/2013,67,SDN,BMW,P,75130,65130,38130,20150228,0073,73,165,952870,0165,0000,0132A,,K,F,945,SARATOGA AVE,,0,408,C,,BBBBBBB,ALL,ALL,BLK,0,0,-,0,,,,,
1346115783,ZJH49T,NJ,PAS,07/20/2013,67,SUBN,FORD,P,0,0,0,0,0073,73,73,940881,0073,0000,0104P,,K,,,S/W C/O CHESTER ST,PITKIN,0,408,C3,,BBBBBBB,ALL,ALL,SILVE,0,0,-,0,,,,,
1346116337,GGR2530,NY,PAS,07/11/2013,67,SUBN,JEEP,P,0,0,0,20150430,,0,165,951535,0165,0000,0940P,,K,O,622,HEGEMAN AVE,,0,408,J6,,BBBBBBB,ALL,ALL,WHITE,0,2013,-,0,,,,,
1346116945,GHN1030,NY,PAS,07/24/2013,67,SDN,HONDA,P,25930,57230,48330,20140812,0073,73,165,951550,0165,0000,0100A,,K,O,622,CHESTER ST,,0,408,J6,,BBBBBBB,ALL,ALL,GY,0,1999,-,0,,,,,
1346116970,JFF3174,PA,PAS,08/08/2013,67,SUBN,ACURA,P,50830,65130,57230,20131130,0073,73,165,951550,0165,0000,0830P,,K,O,932,BOYLAND ST,,0,408,E2,,BBBBBBB,ALL,ALL,WH,0,0,-,0,,,,,
1341510979,XZP9773,VA,PAS,07/14/2013,67,VAN,DODGE,P,0,0,0,20140630,0075,75,75,953735,0075,0000,0133A,,K,,,C/O ELDERT LN,BLAKE AVE,0,408,J6,,BBBBBBB,ALL,ALL,GREEN,0,0,-,0,,,,,
1341515278,GBC8043,NY,PAS,07/28/2013,67,SDN,TOYOT,P,19830,76430,70330,20141021,0075,75,165,953674,0165,0000,0040A,0039A,K,F,627,BLAKE AVE,,0,408,E2,,BBBBBBB,ALL,ALL,BL,0,2011,-,0,,,,,
1344751398,WWU8122,VA,PAS,08/05/2013,67,SDN,NISSA,P,0,0,0,0,0040,40,40,931582,0040,0000,0340A,,BX,,,N/E C/O ST ANNS,E 147 ST,0,408,F1,,BBBBBBB,ALL,ALL,GY,0,0,-,0,,,,,
1344883333,GDX9245,NY,PAS,07/22/2013,67,SUBN,NISSA,P,59200,30240,45095,20141223,101,101,101,937622,0101,0000,1045P,,Q,O,2034,PLAINVIEW AVE,,0,408,C,,BBBBBBB,ALL,ALL,BLACK,0,2007,-,0,,,,,
1344883370,HZB6729,PA,PAS,08/05/2013,67,SDN,NISSA,P,59200,30240,45095,20130131,101,101,101,937622,0101,0000,0950P,,Q,O,2034,PLAINVIEW AVE,,0,408,F7,,BBBBBBB,ALL,ALL,BLACK,0,2013,-,0,,,,,
1344883382,GAX5938,NY,PAS,08/05/2013,67,SUBN,DODGE,P,59200,30240,45095,20140819,101,101,101,937622,0101,0000,0951P,,Q,O,2034,PLAINVIEW AVE,,0,408,F7,,BBBBBBB,ALL,ALL,BLUE,0,2010,-,0,,,,,
1344885172,XSU6392,VA,PAS,08/04/2013,67,SDN,HONDA,P,0,0,0,0,101,101,101,948929,0101,0000,0850A,,Q,,,C/O HEALY AVE,GIPSON ST,0,408,C3,,BBBBBBB,ALL,ALL,GREY,0,0,-,0,,,,,
1344905389,GEM7136,NY,PAS,07/25/2013,67,SUBN,MAZDA,P,0,0,0,20150124,101,101,101,939055,0101,0000,1252P,,Q,,,N/E 139 ST,C/O SEAGIRT AVE,0,408,F2,,BBBBBBB,ALL,ALL,BLK,0,2013,-,0,,,,,
1345152176,GHN2321,NY,PAS,07/20/2013,67,SUBN,FORD,P,0,0,0,20150630,0044,44,163,926860,0163,0000,1159P,,BX,,,S/S JEROME AVE,E OF E 161 ST,0,408,F7,,BBBBBBB,ALL,ALL,SL,0,2006,-,0,,,,,
1345152220,OL7617F,NJ,PAS,07/26/2013,67,LIMO,LINCO,X,0,0,0,0,0044,44,163,926860,0163,0000,0718P,,BX,F,,W/S WOODYCREST AVE,N OF JEROME AVE,0,408,D,,BBBBBBB,ALL,ALL,WH,0,0,-,0,,,,,
1345153156,WXA9291,VA,PAS,07/20/2013,67,VAN,ME/BE,P,42820,98260,26580,20130930,0044,44,163,926860,0163,0000,1046P,,BX,F,981,JEROME AVE,,0,408,E1,,BBBBBBB,ALL,ALL,BLK,0,0,-,0,,,,,
1346123226,GGR2539,NY,PAS,08/10/2013,67,SUBN,NISSA,X,25930,57230,48330,20150501,0073,73,165,951797,0165,0000,1105P,,K,O,622,CHESTER ST,,0,408,F2,,BBBBBBB,ALL,ALL,GY,0,2010,-,0,,,,,
1346177673,GEK9834,NY,PAS,08/02/2013,67,SUBN,DODGE,P,23230,90330,46730,20150313,0073,73,73,948449,0073,0000,0851P,,K,F,1565,BROADWAY,,0,408,J6,,BBBBBBB,ALL,ALL,BL,0,2001,-,0,,,,,
1346197106,HZW1057,PA,PAS,08/13/2013,67,SDN,CHEVR,P,12130,68930,31830,0,0077,77,77,929310,0077,0000,0232A,,K,F,107,ALBANY AVE,,0,408,D3,,BBBBBBB,ALL,ALL,WHITE,0,0,-,0,,,,,
1346246269,94521MD,NY,COM,07/11/2013,67,DELV,WORKH,P,10410,10410,10510,20150630,0018,18,18,949021,0018,0000,0750P,,NY,O,666,5TH AVE,,0,408,C,,BBBBBBB,ALL,ALL,WHITE,0,0,-,0,,,,,
1341974716,98773MA,NY,COM,07/23/2013,67,ROLL,FORD,S,41030,37730,37780,20140331,0075,75,0,601582,0PIU,0000,0730A,,K,F,8801,FLATLANDS AVE,,0,408,E2,,BBBBBBB,ALL,ALL,RED,0,1990,-,0,,,,,
1345155736,59TW93,MA,999,08/22/2013,67,SUBN,TOYOT,X,0,0,0,0,0044,44,163,929901,0163,0000,0444P,,BX,F,,S/S JEROME AVE,EAST OF E 161 ST,0,408,F1,,BBBBBBB,ALL,ALL,GY,0,0,-,0,,,,,
1346844525,5699CV,CT,COM,07/26/2013,67,SUBN,CHEVR,P,0,0,0,0,0046,46,163,952314,0163,0000,0138A,,BX,,,C/O W 174 ST,MONTGOMERY,0,408,D,,BBBBBBB,ALL,ALL,GRY,0,0,-,0,,,,,
1346866971,GHN5420,NY,999,07/19/2013,67,SUBN,CHEVR,P,13820,40520,42420,20150709,0042,42,163,952504,0163,0000,0111A,,BX,F,1187,BOSTON RD,,0,408,K4,,BBBBBBB,ALL,ALL,BK,0,2005,-,0,,,,,
1345431340,GEW2401,NY,PAS,08/12/2013,67,SUBN,LINCO,C,14590,22995,45290,20150226,0005,5,0,52911,0MSC,0000,1048A,,NY,F,111,CENTRE ST,,0,408,E3,,BBBBBBB,ALL,ALL,BROWN,0,2001,-,0,,,,,
1346097136,GEN6392,NY,PAS,07/12/2013,67,SUBN,FORD,P,55130,73380,38130,20150207,0073,73,165,954280,0165,0000,0856P,,K,F,401,LEGION STREET,,0,408,J6,,BBBBBBB,ALL,ALL,BLUE,0,0,-,0,,,,,
1346097860,HZN0533,NY,PAS,08/01/2013,67,SUBN,HONDA,P,55130,40404,40404,0,0073,73,165,951797,0165,0000,1000P,,K,F,402,LEGION ST,,0,408,J6,,BBBBBBB,ALL,ALL,GY,0,0,-,0,,,,,
1345617604,P17DWZ,NJ,PAS,07/22/2013,67,SDN,NISSA,P,22420,26850,12550,20140331,0042,42,42,947006,0042,0000,0440A,0430A,BX,O,1662,CROTONA PK E,,20130722,408,K6,,BBBBBBB,ALL,ALL,WHITE,0,0,-,0,,,,,
1345619807,GBC6261,NY,PAS,08/01/2013,67,SUBN,HONDA,P,33720,76450,10075,20150308,0042,42,42,941287,0042,0000,0325A,,BX,F,1001,FREEMAN STREET,,0,408,J6,,BBBBBBB,ALL,ALL,BLK,0,2003,-,0,,,,,
1345621255,GDR6828,NY,PAS,08/05/2013,67,SDN,NISSA,P,33720,59520,47620,20150313,0042,42,42,934948,0042,0000,0947P,,BX,F,823,FREEMAN ST,,0,408,E2,,BBBBBBB,ALL,ALL,GRAY,0,2011,-,0,,,,,
1323418295,GEV5772,NY,PAS,08/04/2013,67,VAN,FORD,P,36930,40404,40404,20150319,0063,63,63,948663,0063,0000,0935A,,K,O,4801,E 48 ST,,0,408,D,,BBBBBBB,ALL,ALL,WHITE,0,0,-,0,,,,,
1324059400,GDX8514,NY,PAS,08/17/2013,67,SDN,NISSA,K,0,0,0,20150411,0034,34,401,160560,0401,0000,0845P,,NY,,,W/S PAYSON AVE,C/O BEAK ST,0,408,C3,,BBBBBBB,ALL,ALL,GRAY,0,2008,-,0,,,,,
1255889664,7501500,NY,PAS,07/31/2013,67,SDN,TOYOT,K,13670,10015,45210,20141030,0001,1,1,160256,0001,0000,0628A,,NY,O,30,LITTLE WEST ST,,0,408,F7,,BBBBBBB,ALL,ALL,GREY,0,2013,-,0,,,,,
1315452108,JBP7811,PA,PAS,08/13/2013,67,SUBN,CHEVR,P,0,0,0,0,107,107,107,939762,0107,0000,0900A,,Q,O,,E/S 162 ST,N/O 72 AVE,0,408,J7,,BBBBBBB,ALL,ALL,GRAY,0,0,-,0,,,,,
1315869500,T522463C,NY,SRF,08/13/2013,67,SUBN,TOYOT,X,26490,98260,61490,20130831,0044,44,163,935350,0163,0000,0931A,,BX,O,20,E 161 ST,,0,408,D,,BBBBBBB,ALL,ALL,BLUE,0,2005,-,0,,,,,
1325194219,I671GZ,FL,PAS,07/26/2013,67,SDN,SCION,P,0,0,0,20140831,108,108,108,923406,0108,0000,1136A,,Q,,,S/S 48 AVE,W/O 31 PLC,0,408,D,,BBBBBBB,ALL,ALL,WHITE,0,0,-,0,,,,,
1325195613,I671GZ,FL,PAS,08/01/2013,67,SDN,SCION,X,10590,8140,8050,20140831,108,108,108,923406,0108,0000,0259P,,Q,F,31-10,48 AVE,,0,408,C,,BBBBBBB,ALL,ALL,WHT,0,0,-,0,,,,,
1325197622,HJW7018,PA,PAS,08/01/2013,67,SDN,TOYOT,X,10340,5190,0,0,108,108,108,949086,0108,0000,1055P,2255P,Q,F,,46 RD,5TH STREET,20130801,408,F2,,BBBBBBB,ALL,ALL,WH,0,2011,-,0,,,,,
1325596929,GHN1403,NY,PAS,07/18/2013,67,VAN,GMC,P,38430,75430,86630,20150523,0077,77,77,950542,0077,0000,1045P,1040P,K,F,1117,EASTERN PKWY,,0,408,C3,,BBBBBBB,ALL,ALL,RED,0,2006,-,0,,,,,
1347529494,GEW4449,NY,PAS,07/24/2013,67,SUBN,ME/BE,P,0,0,0,20150520,120,120,120,942567,0120,0000,0430P,,R,,,C/O SOBEL,BOWEN,0,408,C,,BBBBBBB,ALL,ALL,BLACK,0,1999,-,0,,,,,
1347534660,GGW2772,NY,PAS,07/14/2013,67,SDN,DODGE,P,56370,53000,44140,20141205,121,121,120,933675,0120,0000,0920A,,R,F,517,WOOLEY AVE,,0,408,J6,,BBBBBBB,ALL,ALL,,0,0,-,0,,,,,
1347560713,HXB806,SC,PAS,07/13/2013,67,SDN,TOYOT,P,80330,80130,79930,0,0077,77,165,953421,0165,0000,1255A,,,O,657,ST JOHNS PL,,0,408,F1,,BBBBBBB,ALL,ALL,GREY,0,0,-,0,,,,,
1347560749,492LCH,CT,PAS,08/06/2013,67,SUBN,VOLVO,P,80330,40404,40404,20141010,0077,77,165,953421,0165,0000,0005A,,K,F,,ST JOHNS PL,,0,408,J6,,BBBBBBB,ALL,ALL,RED,0,0,-,0,,,,,
1347584791,6VXY867,CA,PAS,07/30/2013,67,SDN,MAZDA,P,69330,67047,41930,0,0077,77,77,942489,0077,0000,0427A,,K,F,621,PARK PL,,0,408,C3,,BBBBBBB,ALL,ALL,GRAY,0,0,-,0,,,,,
1347830194,GBZ1371,NY,PAS,08/24/2013,67,SDN,HONDA,P,56490,16640,12260,20140829,104,104,104,946010,0104,0000,0130P,,Q,O,87-03,MYRTLE AVE,,0,408,C3,,BBBBBBB,ALL,ALL,GY,0,1991,-,0,,,,,
1347677227,GGF2944,NY,999,07/25/2013,67,P-U,NISSA,P,85730,43330,61730,20140131,0079,79,165,953483,0165,0000,0720P,,K,O,318,TOMPKINS AVE,,0,408,E2,,BBBBBBB,ALL,ALL,BLK,0,2011,-,0,,,,,
1347688754,PQZ2823,GA,PAS,07/25/2013,67,VAN,FORD,P,0,0,0,0,0079,79,165,951816,0165,0000,0630P,,K,,,C/O ATLANTIC AVE,PERRY PL,0,408,F7,,BBBBBBB,ALL,ALL,WHITE,0,2006,-,0,,,,,
1348076653,JFA2771,NJ,PAS,07/22/2013,67,SDN,PONTI,P,65620,25770,25800,0,0040,40,40,951285,0040,0000,1155P,,BX,F,210,ST ANNS AVE,,0,408,J2,,BBBBBBB,ALL,ALL,WHITE,0,0,-,0,,,,,
1348398139,GED7494,NY,PAS,07/18/2013,67,SDN,OLDSM,P,0,0,0,20150313,107,107,420,936663,0420,0000,0904A,,Q,,,C/O 161 ST,GOETHAL S AVE,0,408,D3,,BBBBBBB,ALL,ALL,BLK,0,1998,-,0,,,,,
1348399594,88356JX,NY,COM,08/01/2013,67,DELV,WORK,X,5140,40404,40404,0,115,115,420,910683,0420,0000,0515P,,Q,F,78-113,5 AVE,,0,408,F1,,BBBBBBB,ALL,ALL,BR,0,2007,-,0,,,,,
1348782249,GEX7898,NY,PAS,08/05/2013,67,SUBN,DODGE,P,0,0,0,20150623,0040,40,40,946271,0040,0000,0717A,,BX,,,N/W C/O COLLEGE AVE,E 145 ST,0,408,J6,,BBBBBBB,ALL,ALL,WHITE,0,2004,-,0,,,,,
1348792036,PC37961,DE,PAS,07/25/2013,67,VAN,CHRYS,P,0,0,0,20131114,0040,40,163,951840,0163,0000,1256A,,BX,,,I/O E 154,ELTON AVE,0,408,F1,,BBBBBBB,ALL,ALL,GRAY,0,0,-,0,,,,,
1348807647,X42ATY,NJ,PAS,08/04/2013,67,,HONDA,P,23020,25890,65920,0,0040,40,40,936232,0040,0000,1054A,,BX,F,325,CYPRESS AVE,,0,408,J6,,BBBBBBB,ALL,ALL,GREY,0,2010,-,0,,,,,
1348838383,GFG5530,NY,PAS,08/12/2013,67,P-U,TOYOT,P,65620,25890,25920,20150501,0040,40,40,949539,0040,0000,0001A,,BX,O,350,ST ANNS AVE,,0,408,C3,,BBBBBBB,ALL,ALL,BLUE,0,2008,-,0,,,,,
1348894192,GCH3916,NY,PAS,08/19/2013,67,SDN,TOYOT,P,0,0,0,20141226,0052,52,52,949169,0052,0000,1205A,,BX,,,C/O BRIGGS AVE,MOSHOLU PKY N,0,408,E2,,BBBBBBB,ALL,ALL,WHITE,0,2008,-,0,,,,,
1348894234,GCR5467,NY,PAS,07/31/2013,67,SDN,CHEVR,P,0,0,0,20150203,0052,52,52,949169,0052,0000,0931P,,BX,O,,C/O MORRIS AVE,JEROME AVE,0,408,D,,BBBBBBB,ALL,ALL,GOLD,0,1999,-,0,,,,,
1348907459,T416478C,NY,SRF,07/17/2013,67,SDN,FORD,P,0,0,0,20140228,0075,75,75,946496,0075,0000,1138A,1135A,K,,,S/W C/O HENDRIX ST,LINDEN BLVD,20130717,408,L2,,BBBBBBB,ALL,ALL,BLACK,0,1999,-,0,,,,,
1348917258,ZDZ3278,NY,999,07/11/2013,67,SDN,HONDA,P,0,0,0,20130806,0075,75,75,942317,0075,0000,1238P,1230P,K,,,ON THE NORTH EAST C/,SHEPHEAD AND STANLEY,20130711,408,D3,,BBBBBBB,ALL,ALL,GREEN,0,2008,-,0,,,,,
1348919826,PDB8831,GA,PAS,07/29/2013,67,SDN,HONDA,P,38730,34330,56230,20130888,0075,75,75,939832,0075,0000,0039A,,K,F,790,ELDERTS LN,,0,408,J3,,BBBBBBB,ALL,ALL,WHITE,0,0,-,0,,,,,
1348921857,NVX4700,VA,PAS,08/02/2013,67,VAN,DODGE,P,0,0,0,0,0075,75,165,953418,0165,0000,0926P,2125P,K,I,,S/B SHEFFIELD,I/O SUTTER,20130802,408,J6,,BBBBBBB,ALL,ALL,GREEN,0,0,-,0,,,,,
